Game,UPC,Platform,Rating,Completion,Box,Manual,Amount,Value,Notes
Kingdom Hearts HD 1.5 + 2.5 Remix,''662248919249,PlayStation 4,CIB,Dropped,Y,Y,1,15.43,
Nier: Automata,''662248919607,PlayStation 4,CIB,Played,Y,Y,1,19.99,
Wallace and Gromit: Project Zoo,''682384410080,Nintendo GameCube,CIB,Not started,Y,Y,1,12.99,
Carmen Sandiego: The Secret of the Stolen Drums,''682384410103,Nintendo GameCube,CIB,Not started,Y,Y,1,10.40,
Ford Racing 2,''710425222894,PlayStation 2,CIB,Not started,Y,Y,1,4.87,
Grand Theft Auto: Liberty City Stories,''710425236969,PlayStation Portable,CIB,Not started,Y,Y,1,14.42,
Midnight Club: Street Racing [Greatest Hits],''710425270529,PlayStation 2,CIB,Not started,Y,Y,1,7.28,
Grand Theft Auto III,''710425270796,PlayStation 2,CIB,Played,Y,Y,1,6.32,
Mafia,''710425271212,PlayStation 2,CIB,Not started,Y,Y,1,14.72,
Midnight Club 2,''710425271434,PlayStation 2,Loose,Played,N,N,1,5.97,Temporary case
Grand Theft Auto Vice City,''710425273889,PlayStation 2,CIB,Played,Y,Y,1,7.40,
ESPN NBA 2K5,''710425276163,PlayStation 2,CIB,Not started,Y,Y,1,5.00,
Midnight Club 3 [DUB Edition Remix] [Greatest Hits],''710425279348,PlayStation 2,CIB,Played,Y,Y,1,23.87,
NBA 2K6,''710425298219,XBOX 360,CIB,Played,Y,Y,1,7.34,
Midnight Club: LA Remix,''710425334368,PlayStation Portable,CIB,Not started,Y,Y,1,15.00,
Ringling Bros. and Barnum & Bailey Circus,''710425346224,Nintendo Wii,CIB,Not started,Y,Y,1,3.64,
Grand Theft Auto IV,''710425370113,PlayStation 3,CIB,Played,Y,Y,1,9.44,
Family Feud,''710425370199,PlayStation 2,CIB,Played,Y,Y,1,5.64,
Red Dead Redemption,''710425375736,PlayStation 3,CIB,Not started,Y,Y,1,11.99,
Max Payne 3,''710425376061,PlayStation 3,CIB,Finished,Y,Y,1,9.99,
Red Dead Redemption: Undead Nightmare,''710425379338,PlayStation 3,CIB,Not started,Y,Y,1,8.01,
Midnight Club: Los Angeles,''710425392627,XBOX 360,Loose,Played,N,N,1,7.93,
Bioshock Infinite,''710425399503,XBOX 360,CIB,Played,Y,Y,1,5.20,
NBA 2K14,''710425473081,PlayStation 4,CIB,Not started,Y,Y,1,5.70,
Borderlands 2,''710425491016,XBOX 360,CIB,Finished,Y,Y,1,4.85,
Grand Theft Auto V,''710425491269,XBOX 360,CIB,Finished,Y,Y,1,12.00,
NBA 2K13,''710425491887,XBOX 360,CIB,Played,Y,Y,1,4.94,
Bioshock: The Collection,''710425497612,XBOX One,CIB,Not started,Y,Y,1,15.66,
Borderlands 3 (Super Deluxe Edition) [Steelbook],''710425574979,PlayStation 4,CIB,On hold,Y,Y,1,24.99,
Uncharted 4: A Thief's End,''711719047292,PlayStation 4,CIB,Finished,Y,Y,1,9.20,
PlayStation 4 - Black (500 GB),''711719100348,Console,Loose,N/A,N,N,1,260.00,Unsure of memory.
Modnation Racers: Roadtrip,''711719220015,PlayStation Vita,CIB,Played,Y,Y,1,10.83,
Syphon Filter 2,''711719445128,PlayStation,CIB,Not started,Y,Y,1,7.53,
Crash Bash,''711719457022,PlayStation,CIB,Not started,Y,Y,1,17.32,
LittleBigPlanet 3 (Day 1 Edition),''711719500254,PlayStation 4,CIB,Not started,Y,Y,1,10.00,
Horizon: Zero Dawn,''711719503484,PlayStation 4,CIB,Played,Y,Y,1,8.28,
Marvel Spider-Man,''711719506126,PlayStation 4,CIB,Finished,Y,Y,1,17.96,
God of War,''711719506133,PlayStation 4,CIB,On hold,Y,Y,1,13.09,
Detroit Become Human,''711719506140,PlayStation 4,CIB,Not started,Y,Y,1,12.42,
Gran Turismo 3: A-spec [Greatest Hits],''711719710226,PlayStation 2,CIB,Not started,Y,Y,1,6.95,
Sly Cooper and the Thievius Raccoonus [Greatest Hits],''711719719823,PlayStation 2,CIB,Not started,Y,Y,1,12.00,
Ratchet and Clank: Going Commando,''711719726821,PlayStation 2,CIB,Not started,Y,Y,1,9.74,
Gran Turismo 4,''711719732822,PlayStation 2,CIB,Not started,Y,Y,1,8.20,
Neopets: The Darkest Faerie,''047875881853,PlayStation 2,CIB,Played,Y,Y,1,9.39,
The Getaway: Black Monday,''711719740827,PlayStation 2,CIB,Not started,Y,Y,1,6.95,
Eye Toy: Antigrav,''711719741428,PlayStation 2,CIB,Not started,Y,Y,1,4.63,
Shadow of the Colossus [Greatest Hits],''711719747222,PlayStation 2,CIB,Not started,Y,Y,1,13.00,
Buzz! Junior: Robo Jam,''711719763420,PlayStation 2,CIB,Not started,Y,Y,1,6.45,
Uncharted : Drake's Fortune,''711719810322,PlayStation 3,CIB,Not started,Y,Y,1,5.40,
Uncharted 2: Among Thieves,''711719812326,PlayStation 3,CIB,Not started,Y,Y,1,5.77,
inFamous 2,''711719812524,PlayStation 3,CIB,Played,Y,Y,1,6.78,
Uncharted 3: Drake's Deception,''711719823322,PlayStation 3,CIB,Not started,Y,Y,1,6.81,
The Ico & Shadow of the Colossus Collection,''711719825920,PlayStation 3,CIB,Played,Y,Y,1,11.95,
The Con,''711719862123,PlayStation Portable,CIB,Not started,Y,Y,1,4.85,
ModNation Racers,''711719874126,PlayStation Portable,CIB,Played,Y,Y,1,4.66,
Invizimals,''711719874621,PlayStation Portable,CIB,Not started,Y,Y,1,7.45,
Patapon 3,''711719875123,PlayStation Portable,CIB,Played,Y,Y,1,13.62,
Sly Cooper: Thieves in Time,''711719982470,PlayStation 3,CIB,Not started,Y,Y,1,13.50,
God of War Saga,''711719990697,PlayStation 3,CIB,Played,Y,Y,1,13.50,
Home on the Range,''712725001513,Nintendo GBA,Loose,Played,N,N,1,2.72,
Suite Life of Zack and Cody,''712725002602,Nintendo DS,CIB,Not started,Y,Y,1,4.49,
Spectrobes,''712725002763,Nintendo DS,CIB,On hold,Y,Y,1,6.97,
Phineas and Ferb,''712725004552,Nintendo DS,CIB,Not started,Y,Y,1,4.39,
Spectrobes: Origins,''712725005016,Nintendo Wii,CIB,Not started,Y,Y,1,7.24,
Club Penguin: Elite Penguin Force,''712725005139,Nintendo DS,CIB,Finished,Y,Y,1,3.26,
Spectrobes: Beyond the Portals,''712725016678,Nintendo DS,CIB,On hold,Y,Y,1,5.80,
Club Penguin Elite Penguin Force: Herbert's Revenge,''712725017071,Nintendo DS,CIB,Finished,Y,Y,1,4.83,
LEGO Pirates of the Caribbean,''712725021290,XBOX 360,CIB,Finished,Y,Y,1,12.50,
Cars,''712725022518,Nintendo DS,CIB,Not started,Y,Y,1,7.01,
Kinect Adventures!,''717565888225,XBOX 360,CIB,Not started,Y,Y,1,3.42,
Medabots AX: Rokusho,''719593020240,Nintendo GBA,CIB,Not started,Y,Y,1,31.85,
Dragon Ball Z: The Legacy of Goku,''722242518760,Nintendo GBA,Loose,Finished,N,N,1,7.50,
Dragon Ball Z: Budokai,''722242519590,PlayStation 2,CIB,Played,Y,Y,1,7.80,
Tekken TAG Tournament,''722674021036,PlayStation 2,CIB,Not started,Y,Y,1,9.00,
Vampire Night,''722674021197,PlayStation 2,CIB,Not started,Y,Y,1,26.49,
Tekken 4,''722674021296,PlayStation 2,CIB,Not started,Y,Y,1,9.40,
R: Racing Evolution,''722674100038,PlayStation 2,CIB,Not started,Y,Y,1,6.30,
Tekken 5,''722674100229,PlayStation 2,CIB,Not started,Y,Y,1,16.90,
The Fast and the Furious,''722674100496,PlayStation 2,CIB,Not started,Y,Y,1,9.80,
Naruto: Uzumaki Chronicles,''722674100618,PlayStation 2,CIB,Played,Y,Y,1,6.36,
Digimon World: Data Squad,''722674100670,PlayStation 2,CIB,Played,Y,Y,1,13.50,
Naruto: Ultimate Collection,''722674100717,PlayStation 2,CIB,Played,Y,Y,1,25.74,
Ultimate Ninja 4: Naruto Shippuden,''722674100731,PlayStation 2,CIB,Played,Y,Y,1,16.47,
Dynasty Warriors: Gundam 3,''722674110563,PlayStation 3,CIB,Not started,Y,Y,1,23.39,
Ni no Kuni: Wrath of the White Witch,''722674110716,PlayStation 3,SIB,Not started,Y,Y,1,16.85,
Naruto Shippuden: Ultimate Ninja Storm Revolution,''722674111720,PlayStation 3,CIB,Not started,Y,Y,1,16.37,
One Piece: Pirate Warriors 3,''722674120111,PlayStation 4,CIB,Finished,Y,Y,1,18.07,
Sword Art Online: Lost Song,''722674120326,PlayStation 4,CIB,Not started,Y,Y,1,11.36,
Digimon World: Next Order,''722674120746,PlayStation 4,CIB,Not started,Y,Y,1,19.50,
Divinity: Original Sin 2 (Definitive Edition),''722674122344,PlayStation 4,CIB,In progress,Y,Y,1,16.00,
Naruto: Ultimate Ninja Heroes 2,''722674150286,PlayStation Portable,CIB,Finished,Y,Y,1,12.08,
Soul Calibur: Broken Destiny,''722674150309,PlayStation Portable,CIB,Not started,Y,Y,1,15.54,
Naruto Shippuden: Ultimate Ninja Heroes 3,''722674150378,PlayStation Portable,CIB,Finished,Y,Y,1,18.55,
Tales of Hearts R,''722674150415,PlayStation Vita,CIB,Played,Y,Y,1,34.11,
One Piece: Unlimited World R (Day One Edition),''722674150446,PlayStation Vita,CIB,Played,Y,Y,1,23.03,
Naruto Shippuden: Ultimate Ninja Storm Generations,''722674210546,XBOX 360,CIB,Played,Y,Y,1,8.64,
Naruto Shippuden: Ultimate Ninja Storm 3,''722674210751,XBOX 360,CIB,Played,Y,Y,1,10.50,
Digimon World DS,''722674700153,Nintendo DS,Loose,Not started,N,N,1,20.97,Temporary case
Digimon World: Dusk,''722674700245,Nintendo DS,Loose,On hold,N,N,1,18.99,
Soul Calibur Legends,''722674800051,Nintendo Wii,CIB,Not started,Y,Y,1,6.01,
Dragon Ball: Revenge of King Piccolo,''722674800235,Nintendo Wii,CIB,Not started,Y,Y,1,19.02,
Persona 5 [Steelbook],''730865020065,PlayStation 4,CIB,On hold,Y,Y,1,36.81,
Persona 4 Golden,''730865200009,PlayStation Vita,CIB,Finished,Y,Y,1,73.81,
Persona 4: Dancing All Night (Disco Fever Edition),''730865200085,PlayStation Vita,CIB,Finished,Y,Y,1,29.57,
Lost Dimension,''730865200092,PlayStation Vita,CIB,Played,Y,Y,1,26.91,
Persona Q: Shadow of the Labyrinth (with Tarot Cards),''730865300174,Nintendo 3DS,CIB,Played,Y,Y,1,24.99,
Battle B-Daman,''730865850174,Nintendo GBA,Loose,Finished,N,N,1,5.17,
Battle B-Daman: Fire Spirits,''730865850228,Nintendo GBA,Loose,Finished,N,N,1,6.53,
Corvette,''739069615084,PlayStation 2,CIB,Not started,Y,Y,1,3.93,
Space Race,''742725226340,PlayStation 2,CIB,Not started,Y,Y,1,10.19,
Dragon Ball Z: Taiketsu,''742725226982,Nintendo GBA,Loose,Not started,N,N,1,5.18,
Kya: Dark Lineage,''742725239630,PlayStation 2,Loose,Not started,N,N,1,9.45,
Beyblade: VForce,''742725248489,Nintendo GBA,Loose,Not started,N,N,1,3.24,
Dragon Ball Z: Budokai 2,''742725250680,PlayStation 2,Loose,Played,N,N,1,7.49,
Dragon Ball GT: Transformation,''742725256330,Nintendo GBA,Loose,Not started,N,N,1,10.68,
Beyblade: G-Revolution,''742725256897,Nintendo GBA,Loose,Finished,N,N,1,7.45,
Duel Masters: Kaijudo Showdown,''742725256903,Nintendo GBA,Loose,Not started,N,N,1,3.24,
Dragon Ball Z Budokai Tenkaichi,''742725266438,PlayStation 2,CIB,Played,Y,Y,1,12.52,
Super Dragon Ball Z,''742725273962,PlayStation 2,CIB,Played,Y,Y,1,9.99,
Dragon Ball Z Budokai Tenkaichi 2,''742725273979,PlayStation 2,CIB,Finished,Y,Y,1,28.48,
Dragon Ball Z: Harukanaru Densetsu (PAL),''742725275355,Nintendo DS,CIB,Played,Y,Y,1,18.88,
Dragon Ball Z Budokai Tenkaichi 3,''742725275928,PlayStation 2,CIB,Finished,Y,Y,1,112.47,
Dragon Ball Z: Burst Limit,''742725276406,XBOX 360,CIB,Not started,Y,Y,1,11.72,
Dragon Ball Z: Infinite World,''742725277151,PlayStation 2,CIB,Played,Y,Y,1,42.79,
Ford Racing 3,''744788017712,PlayStation 2,Loose,Not started,N,N,1,2.83,Temporary case
Rocket Power: Beach Bandits,''752919460177,PlayStation 2,CIB,Played,Y,Y,1,7.41,
Spongebob Squarepants: Battle for Bikini Bottom [Greatest Hits],''752919460375,PlayStation 2,CIB,Finished,Y,Y,1,28.48,
Hot Wheels: Stunt Track Challenge,''752919460511,PlayStation 2,CIB,Played,Y,Y,1,7.59,
Nicktoons Movin',''752919460528,PlayStation 2,CIB,Not started,Y,Y,1,3.53,
Spongebob Squarepants: The Movie,''752919460542,PlayStation 2,CIB,Finished,Y,Y,1,15.11,
Jimmy Neutron: Attack of the Twonkies,''752919460580,PlayStation 2,CIB,Played,Y,Y,1,5.43,
Juiced,''752919460658,PlayStation 2,CIB,Not started,Y,Y,1,9.28,
"Spongebob Squarepants: Lights, Camera, Pants!",''752919460726,PlayStation 2,CIB,Finished,Y,Y,1,9.99,
Nicktoons: Battle for Volcano Island,''752919460986,PlayStation 2,CIB,Played,Y,Y,1,8.23,
Neopets: The Darkest Faerie,''047875881853,PlayStation 2,CIB,Played,Y,Y,1,9.39,
Stuntman: Ignition,''752919461112,PlayStation 2,CIB,Played,Y,Y,1,4.30,
Avatar: The Burning Earth,''752919461204,PlayStation 2,CIB,Played,Y,Y,1,6.95,
WCW vs. the World,''752919470138,PlayStation,CIB,Not started,Y,Y,1,6.20,
Darksiders II,''752919553824,XBOX 360,CIB,Played,Y,Y,1,4.06,
WWE Smackdown vs. Raw 2008 [Steelbook],''752919990285,PlayStation 3,CIB,Not started,Y,Y,1,34.99,
Let's Ride!: Dreamer,''755142781064,Nintendo GBA,Loose,Not started,N,N,1,2.91,
Nintendo 3DS - Flame Red,''763615836319,Console,Loose,N/A,N,N,1,87.97,
DT Racer,''780332056431,PlayStation 2,CIB,Not started,Y,Y,1,4.35,
Quest 64,''785138301037,Nintendo 64,Loose,Not started,N,N,1,12.45,
Big Beach Sports,''785138301624,Nintendo Wii,CIB,Not started,Y,Y,1,5.03,
Matchbox: Cross Town Heroes,''785138321080,Nintendo GBA,Loose,Played,N,N,1,4.13,
Spongebob Squarepants: Revenge of the Flying Dutchman,''785138321172,Nintendo GBA,Loose,Not started,N,N,1,4.70,
Rocket Power: Zero Gravity Zone,''785138321400,Nintendo GBA,Loose,Not started,N,N,1,3.92,
Power Rangers: Dino Thunder,''785138321660,Nintendo GBA,Loose,Not started,N,N,1,5.88,
Hot Wheels: World Race,''785138380308,Nintendo GameCube,CIB,Not started,Y,Y,1,10.99,
Thunderstrike: Operation Phoenix,''788687500043,PlayStation 2,CIB,Not started,Y,Y,1,5.04,
25 to Life,''788687500258,PlayStation 2,CIB,Not started,Y,Y,1,12.78,
LEGO Star Wars 2: The Original Trilogy,''788687500333,PlayStation 2,CIB,Finished,Y,Y,1,6.72,
LEGO Star Wars: The Video Game,''788687500333,PlayStation 2,CIB,Finished,Y,Y,1,6.72,
Herdy Gerdy,''788687500371,PlayStation 2,CIB,Not started,Y,Y,1,7.47,
Bionicle: Heroes,''788687500586,PlayStation 2,CIB,Not started,Y,Y,1,7.00,
Army Men: Green Rogue,''790561508519,PlayStation 2,CIB,Not started,Y,Y,1,6.20,
Line Rider 2: Unbound,''796019813020,Nintendo DS,CIB,Not started,Y,Y,1,3.35,
Payday 2,''812872016757,XBOX 360,CIB,Played,Y,Y,1,5.34,
Cave Story 3D,''813633011059,Nintendo 3DS,Loose,Not started,N,N,1,13.67,
Disgaea 3: Absence of Detention,''813633011516,PlayStation Vita,CIB,Not started,Y,Y,1,17.83,
Danganronpa: Trigger Happy Havoc,''813633013466,PlayStation Vita,CIB,Finished,Y,Y,1,26.71,
Danganronpa 2: Goodbye Despair,''813633013879,PlayStation Vita,CIB,Finished,Y,Y,1,24.49,
Danganronpa Another Episode: Ultra Despair Girls,''813633015170,PlayStation Vita,CIB,Finished,Y,Y,1,25.37,
Danganronpa V3: Killing Harmony,''813633019109,PlayStation Vita,CIB,Finished,Y,Y,1,44.50,
Disgaea 5 Complete,''813633019215,Nintendo Switch,CIB,Played,Y,Y,1,33.18,
Saints Row IV,''816819010709,XBOX 360,CIB,Finished,Y,Y,1,6.88,
Ultimate Board Game Collection,''853333001059,PlayStation 2,CIB,Not started,Y,Y,1,2.99,
Ys: Memories of Celceta,''853466001605,PlayStation Vita,CIB,Played,Y,Y,1,25.32,
Senran Kagura: Shinovi Versus (Let's Get Physical Version),''853466001698,PlayStation Vita,CIB,Played,Y,Y,1,49.00,
Disgaea 3: Absence of Justice,''857823001314,PlayStation 3,CIB,Not started,Y,Y,1,7.99,
Disgaea 2 - Dark Hero Days,''857823001406,PlayStation Portable,CIB,Not started,Y,Y,1,24.99,
The Binding of Isaac: Afterbirth +,''867528000307,Nintendo Switch,CIB,Finished,Y,Y,1,35.00,
Dream Trigger 3D,''879278360006,Nintendo 3DS,Loose,Not started,N,N,1,3.49,
Halo 3,''882224444477,XBOX 360,CIB,Played,Y,Y,1,7.90,
LEGO Battles,''883929069859,Nintendo DS,CIB,Not started,Y,Y,1,5.28,
LEGO Rock Band,''883929077809,Nintendo Wii,CIB,Finished,Y,Y,1,9.33,
Scribblenauts,''883929088867,Nintendo DS,Loose,Finished,N,N,1,3.90,
LEGO Harry Potter Years 1-4,''883929119530,Nintendo Wii,CIB,Finished,Y,Y,1,12.66,
Super Scribblenauts,''883929137138,Nintendo DS,CIB,Not started,Y,Y,1,4.31,
LEGO Harry Potter Years 5-7,''883929187560,XBOX 360,CIB,Finished,Y,Y,1,11.44,
LEGO Batman 2: DC Super Heroes,''883929243617,XBOX 360,CIB,Finished,Y,Y,1,5.99,
Batman: Arkham Origins,''883929319688,PlayStation 3,CIB,Played,Y,Y,1,5.88,
Lego City Undercover,''883929580224,Nintendo Switch,CIB,Played,Y,Y,1,19.22,
Lego Marvel Super Heroes 2,''883929597802,PlayStation 4,CIB,Finished,Y,Y,1,11.98,
Batman - The Telltale Series,''883929603695,Nintendo Switch,CIB,Finished,Y,Y,1,20.72,
Halo: Reach,''885370040159,XBOX 360,CIB,Finished,Y,Y,1,8.14,
XBOX 360 Slim - Black (4 GB),''885370138405,Console,Loose,N/A,N,N,1,43.33,
Fable III,''885370164244,XBOX 360,CIB,Played,Y,Y,1,5.09,
Forza Motorsport 4,''885370308099,XBOX 360,CIB,Played,Y,Y,1,11.99,
Forza Horizon,''885370404524,XBOX 360,CIB,Played,Y,Y,1,18.67,
Halo 4,''885370429688,XBOX 360,CIB,Played,Y,Y,1,5.99,
Rise of the Tomb Raider,''885370982305,XBOX One,Loose,Not started,N,N,1,8.97,
Watch Dogs 2,''887256022884,PlayStation 4,CIB,Finished,Y,Y,1,11.50,
Mario + Rabbids Kingdom Battle,''887256028305,Nintendo Switch,CIB,Played,Y,Y,1,18.45,
Assassin's Creed: Origins,''887256028428,PlayStation 4,CIB,Played,Y,Y,1,14.25,
Assassin's Creed: Odyssey,''887256035990,PlayStation 4,CIB,Not started,Y,Y,1,21.26,
Tom Clancy's The Division 2,''887256036362,XBOX One,CIB,Not started,Y,Y,1,8.38,
XBOX One S - White (500 GB),''889842133073,Console,CIB,N/A,N,N,1,197.97,Unsure of model and memory.
Virtue's Last Reward,''893610001624,PlayStation Vita,CIB,On hold,Y,Y,1,11.88,
Muramasa: rebirth,''893610001709,PlayStation Vita,CIB,Played,Y,Y,1,40.50,
Brave: The Search for Spirit Dancer,''896992000155,PlayStation 2,CIB,Not started,Y,Y,1,6.85,
Nintendo DS - Silver,N/A,Console,Loose,N/A,N,N,1,20,Estimated.
Nintendo Switch - Gray Joy-Cons,N/A,Console,Loose,N/A,N,N,1,150,Estimated.
PlayStation 3 - Black (160 GB),N/A,Console,Loose,N/A,N,N,1,30,Estimated.
"PlayStation Vita - White (Series 1000, OLED)",N/A,Console,Loose,N/A,N,N,1,150,Estimated.
Pokémon Ruby (Fake),N/A,Nintendo GBA,Loose,Not started,N,N,1,5,Estimated
The Sims,N/A,PC,CIB,Played,Y,Y,1,Not available.,
The Sims 2: Double Deluxe,N/A,PC,CIB,Played,Y,Y,1,Not available.,
The Sims 2: Fun with Pets,N/A,PC,CIB,Played,Y,Y,1,Not available.,
The Sims 2: University,N/A,PC,CIB,Played,Y,Y,1,Not available.,
The Sims 3: Fast Lane,N/A,PC,CIB,Played,Y,Y,1,Not available.,
The Sims 3: High End Loft,N/A,PC,CIB,Played,Y,Y,1,Not available.,
The Sims: Complete Collection,N/A,PC,CIB,Played,Y,Y,1,Not available.,
World of Warcraft: Cataclysm,N/A,PC,CIB,Played,Y,Y,1,Not available.,
World of Warcraft: Wrath of the Lick King,N/A,PC,CIB,Played,Y,Y,1,Not available.,
Breath of Fire III (PAL),N/A,PlayStation Portable,CIB,Not started,Y,Y,1,15,Estimated.
Red Dead Redemption 2,N/A,XBOX One,Digital (Rental),Not started,N/A,N/A,1,N/A,
